"screenName","point","hashtag","BOTNOT"
"AzulSosa__",0.0708925733007609,"#Abortolegal2020","BOTNOT"
"AzulesTurquesas",0.0379801364663761,"#AperturadeSesiones","BOTNOT"
"B87Diego",0.103285734671236,"#AperturadeSesiones","BOTNOT"
"BBaires2018",0.708112626761362,"#TodosConAlberto","BOT"
"BMariamsmom",0.221795687690215,"#Abortolegal2020","BOTNOT"
"B_Corregidora",0.103285734671236,"#Abortolegal2020","BOTNOT"
"BabsyKhan",0.318418856131781,"#TodosConAlberto","BOTNOT"
"BambaRamiro",0.0656555619800429,"#AsambleaLegislativa2020","BOTNOT"
"BarCarmonaa",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"BarazaniMaya",0.207905573288023,"#Abortolegal2020","BOTNOT"
"BarbiIbarra210",0.0708925733007609,"#Abortolegal2020","BOTNOT"
"BarbiSanchez98",0.283782475135694,"#Abortolegal2020","BOTNOT"
"BarreiroDr",0.413569897933165,"#TodosConAlberto","BOTNOT"
"Bart_Simpson35",0.0889951559667924,"#AsambleaLegislativa2020","BOTNOT"
"Bartho333",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"BastaCorrruptos",0.158817464242006,"#TodosConAlberto","BOTNOT"
"BauTuit",0.103285734671236,"#TodosConAlberto","BOTNOT"
"BautiTaglia",0.0656555619800429,"#AsambleaLegislativa2020","BOTNOT"
"BeRaggio",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"Bea_myrian",0.052029365506959,"#TodosConAlberto","BOTNOT"
"BeatrizRalli",0.0411067402195677,"#AsambleaLegislativa2020","BOTNOT"
"BederHerrera",0.0379801364663761,"#AsambleaLegislativa2020","BOTNOT"
"BelFerreyra05",0.374266788182162,"#AperturadeSesiones","BOTNOT"
"Belu_Q19",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"Benavidesgraa",0.474488541290675,"#Abortolegal2020","BOTNOT"
"Benu2015",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"Bernard24617136",0.283782475135694,"#AperturadeSesiones","BOTNOT"
"Betiana_Medina",0.53617614776787,"#Abortolegal2020","BOTNOT"
"BetoAguilera17",0.25152334764543,"#AperturadeSesiones","BOTNOT"
"BetoMendeleiev",0.138026189602166,"#AperturadeSesiones","BOTNOT"
"BettinaRossano",0.0656555619800429,"#AperturadeSesiones","BOTNOT"
"BiancaAbud1",0.884865340618437,"#Abortolegal2020","BOT"
"Bibi11521666",0.336555195487199,"#AperturadeSesiones","BOTNOT"
"BilicMiguel",0.708112626761362,"#AperturadeSesiones","BOT"
"Bizalel",0.393746460000491,"#TodosConAlberto","BOTNOT"
"BizarreShrek",0.355186217086113,"#AsambleaLegislativa2020","BOTNOT"
"BlackDa93207743",0.128515833759837,"#AperturadeSesiones","BOTNOT"
"BladiCalde",0.616428062638762,"#AsambleaLegislativa2020","BOT"
"BlenginoCamila",0.0656555619800429,"#AperturadeSesiones","BOTNOT"
"BlueMBD",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"Bochosky",0.0379801364663761,"#AsambleaLegislativa2020","BOTNOT"
"Bolchema",0.0481136657077545,"#AperturadeSesiones","BOTNOT"
"BonassiIsabel",0.103285734671236,"#AperturadeSesiones","BOTNOT"
"BoniniFacu",0.1701324265303,"#Abortolegal2020","BOTNOT"
"BonoVikka",0.393746460000491,"#AperturadeSesiones","BOTNOT"
"BorgianiCami",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"BorinagaP",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"BourbonDrink",0.413569897933165,"#AperturadeSesiones","BOTNOT"
"BreeenGuerrero7",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"BreendaaManriq",0.111167191085188,"#AperturadeSesiones","BOTNOT"
"BrendaTarraga",0.0379801364663761,"#AperturadeSesiones","BOTNOT"
"BrisaGomez7",0.0444788321741982,"#Abortolegal2020","BOTNOT"
"Brisaa_Lujaan",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"BruAdrian",0.119569866519679,"#TodosConAlberto","BOTNOT"
"BrujoLopezRega",0.374266788182162,"#AsambleaLegislativa2020","BOTNOT"
"Bruna81799560",0.1701324265303,"#AsambleaLegislativa2020","BOTNOT"
"BrunooGiusti",0.052029365506959,"#AperturadeSesiones","BOTNOT"
"BuelaJuanita",0.283782475135694,"#AperturadeSesiones","BOTNOT"
"BuhoAlcoholico",0.207905573288023,"#AperturadeSesiones","BOTNOT"
"Bukicita",0.0411067402195677,"#TodosConAlberto","BOTNOT"
"BustamanteChavo",0.0350826433931558,"#TodosConAlberto","BOTNOT"
"CANAL10ok",0.267344003063405,"#AperturadeSesiones","BOTNOT"
"CAZOTTELMA",0.0959027621411744,"#AsambleaLegislativa2020","BOTNOT"
"CCTT210778",0.128515833759837,"#AperturadeSesiones","BOTNOT"
"CECILIAMOREAU",0.0607801135208407,"#TodosConAlberto","BOTNOT"
"CELSOPEREZR",0.0607801135208407,"#AsambleaLegislativa2020","BOTNOT"
"COSECHA1970",0.194667737284505,"#TodosConAlberto","BOTNOT"
"CRISTINANOCHORR",0.0959027621411744,"#AperturadeSesiones","BOTNOT"
"CTAok",0.0708925733007609,"#AsambleaLegislativa2020","BOTNOT"
"CTEPRegionalLP",0.0889951559667924,"#AperturadeSesiones","BOTNOT"
"CaamiPeluso",0.0656555619800429,"#Abortolegal2020","BOTNOT"
"Cabezon_PyP",0.158817464242006,"#TodosConAlberto","BOTNOT"
"Cabrabrava",0.052029365506959,"#AlbertoFernandez","BOTNOT"
"Cacho_D",0.0607801135208407,"#AperturadeSesiones","BOTNOT"
"Cadi_79_",0.0411067402195677,"#TodosConAlberto","BOTNOT"
"CaffaroOsvaldoR",0.119569866519679,"#TodosConAlberto","BOTNOT"
"Caipira51",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"CalientaSol",0.355186217086113,"#TodosConAlberto","BOTNOT"
"Callejera06",0.0379801364663761,"#Abortolegal2020","BOTNOT"
"CalvoRev",0.0959027621411744,"#AsambleaLegislativa2020","BOTNOT"
"CamiCntr",0.336555195487199,"#Abortolegal2020","BOTNOT"
"CamiiBoffa",0.0323987547370742,"#AperturadeSesiones","BOTNOT"
"Camiibust_",0.0323987547370742,"#Abortolegal2020","BOTNOT"
"CamilaD08_",0.103285734671236,"#AperturadeSesiones","BOTNOT"
"CamilaRequena6",0.0254864249403189,"#AsambleaLegislativa2020","BOTNOT"
"CamilaTerdos",0.0276140429422608,"#Abortolegal2020","BOTNOT"
"CamilaThompson8",0.0379801364663761,"#AsambleaLegislativa2020","BOTNOT"
"Camilayelenn",0.0379801364663761,"#Abortolegal2020","BOTNOT"
"Camilo69005099",0.300816711527256,"#AsambleaLegislativa2020","BOTNOT"
"Camilusky_",0.138026189602166,"#TodosConAlberto","BOTNOT"
"Camimire",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"Camiss_t_",0.0323987547370742,"#Abortolegal2020","BOTNOT"
"CampAbortoLegSF",0.207905573288023,"#AperturadeSesiones","BOTNOT"
"CampAbortoSures",0.300816711527256,"#AperturadeSesiones","BOTNOT"
"CancinoGaston",0.336555195487199,"#TodosConAlberto","BOTNOT"
"CandCremonte",0.052029365506959,"#AsambleaLegislativa2020","BOTNOT"
"CandeLLona",0.0708925733007609,"#Abortolegal2020","BOTNOT"
"CandeSolsu",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"Cande_Vega",0.0411067402195677,"#AperturadeSesiones","BOTNOT"
"Candee_Moyano",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"Candledesmaa",0.194667737284505,"#Abortolegal2020","BOTNOT"
"CanduLescano",0.0350826433931558,"#AsambleaLegislativa2020","BOTNOT"
"CanteroCarla",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"CapitanBetoFer",0.336555195487199,"#AperturadeSesiones","BOTNOT"
"CariBertoo",0.138026189602166,"#AperturadeSesiones","BOTNOT"
"Cari_Gonzales7",0.236336911395384,"#AsambleaLegislativa2020","BOTNOT"
"CaritoA33",0.182079031309288,"#AperturadeSesiones","BOTNOT"
"CarlaIrupe",0.0825396626774012,"#Abortolegal2020","BOTNOT"
"CarlaMa80755290",0.103285734671236,"#Abortolegal2020","BOTNOT"
"CarlaNaimi",0.0254864249403189,"#AperturadeSesiones","BOTNOT"
"CarliNonino1",0.0323987547370742,"#Abortolegal2020","BOTNOT"
"CarlodiRaval",0.148120708329673,"#Abortolegal2020","BOTNOT"
"Carlos27740189",0.966338495641012,"#AsambleaLegislativa2020","BOT"
"CarlosBonfiglio",0.111167191085188,"#AlbertoFernandez","BOTNOT"
"CarlosBrizuelaA",0.128515833759837,"#AsambleaLegislativa2020","BOTNOT"
"CarlosD19711967",0.236336911395384,"#AsambleaLegislativa2020","BOTNOT"
"CarlosMacri",0.138026189602166,"#TodosConAlberto","BOTNOT"
"Carlosmfaedda",0.495057564008046,"#AsambleaLegislativa2020","BOTNOT"
"CaroCarolanus",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"CaroRamirez333",0.474488541290675,"#AlbertoFernandez","BOTNOT"
"CaroTailhade",0.111167191085188,"#Abortolegal2020","BOTNOT"
"Caro_Miranda_Ok",0.0481136657077545,"#TodosConAlberto","BOTNOT"
